Real,Imag
+0.999999999998E-5,-0.517512646453E-3
-0.999999999993E-5,+0.516672319241E-3
+0.999999999997E-5,-0.515834715602E-3
-0.999999999996E-5,+0.514999822315E-3
+0.999999999993E-5,-0.514167626246E-3
-0.999999999997E-5,+0.513338114342E-3
+0.999999999989E-5,-0.512511273636E-3
-0.999999999997E-5,+0.511687091245E-3
+0.999999999987E-5,-0.510865554369E-3
-0.100000000000E-4,+0.510046650288E-3
+0.999999999994E-5,-0.509230366365E-3
-0.999999999997E-5,+0.508416690043E-3
+0.999999999994E-5,-0.507605608846E-3
-0.100000000000E-4,+0.506797110376E-3
+0.999999999998E-5,-0.505991182316E-3
-0.100000000000E-4,+0.505187812425E-3
+0.999999999997E-5,-0.504386988540E-3
-0.999999999992E-5,+0.503588698578E-3
+0.999999999996E-5,-0.502792930527E-3
-0.999999999993E-5,+0.501999672455E-3
